Crop_enc,State_enc,Season_enc,Year_int,Area,Production,Yield
32,25,1,2010,0.35,0.33,942.0
32,26,0,2010,1.95,0.94,481.0
32,26,1,2010,0.95,0.86,902.0
32,28,0,2010,0.01,0.01,1684.0
32,29,0,2010,0.08,0.06,785.0
32,29,1,2010,0.46,0.65,1432.0
32,30,0,2010,18.08,22.33,1235.0
32,30,1,2010,36.8,43.72,1188.0
32,31,0,2010,0.04,0.04,881.0
32,31,1,2010,0.05,0.04,792.0
32,32,0,2010,3.26,5.36,1643.0
32,32,1,2010,1.23,3.97,3226.0
32,33,0,2010,2.91,3.07,1056.0
32,33,1,2010,2.02,3.55,1752.0
32,34,0,2010,0.02,0.02,682.0
32,34,1,2010,0.02,0.02,783.0
32,35,0,2010,4.32,1.64,380.0
32,35,1,2010,6.73,7.55,1123.0
32,36,0,2010,0.13,0.16,1242.0
32,36,1,2010,0.14,0.11,803.0
32,37,0,2010,1.9,1.73,914.0
32,37,1,2010,4.82,5.3,1100.0
32,0,0,2010,182.28,219.2,1203.0
32,0,1,2010,89.96,105.57,1174.0
28,2,0,2010,1.52,118.93,78247.0
28,3,0,2010,0.02,0.29,19333.0
28,4,0,2010,0.3,10.75,36196.0
28,5,0,2010,2.48,127.64,51466.0
28,7,0,2010,0.08,0.22,2627.0
28,11,0,2010,0.01,0.49,54556.0
28,12,0,2010,1.9,137.6,72421.0
28,13,0,2010,0.85,60.42,71082.0
28,14,0,2010,0.02,0.38,22529.0
28,16,0,2010,0.07,4.57,69288.0
28,17,0,2010,4.23,396.57,93752.0
28,18,0,2010,0.03,2.72,95517.0
28,20,0,2010,0.65,26.67,40968.0
28,21,0,2010,9.65,818.96,84866.0
28,22,0,2010,0.05,3.01,57944.0
28,24,0,2010,0.01,0.08,5643.0
28,25,0,2010,0.04,1.85,43000.0
28,26,0,2010,0.13,9.03,68908.0
28,28,0,2010,0.02,2.78,157327.0
28,29,0,2010,0.7,41.7,59571.0
28,30,0,2010,0.06,3.68,66891.0
28,32,0,2010,3.16,342.52,108392.0
28,33,0,2010,0.4,30.71,76763.0
28,34,0,2010,0.01,0.46,51646.0
28,35,0,2010,21.25,1205.45,56727.0
28,36,0,2010,1.07,64.98,60896.0
28,37,0,2010,0.15,11.34,75607.0
28,0,0,2010,48.85,3423.82,70091.0
36,2,1,2010,0.01,0.01,1000.0
36,3,1,2010,0.04,0.06,1595.0
36,4,1,2010,0.45,0.53,1179.0
36,5,1,2010,21.04,40.98,1948.0
36,7,1,2010,1.11,1.27,1144.0
36,10,1,2010,0.26,1.11,4340.0
36,12,1,2010,12.74,40.19,3155.0
36,13,1,2010,25.15,116.3,4624.0
36,14,1,2010,3.57,5.46,1530.0
